intent,utterance
TurnOff,switch the air conditioning off
TurnOff,turn the ac off
TurnOn,switch on the aircon
TurnOn,turn the aircon on
ChangeTemperature,change the minimum and maximum temperatures on my thermostat
SetTemperatureToValue,set set my thermostat to 25 degree
SetTemperatureToValueOnDevice,set the temperature to 80 degrees fahrenheit on my hall thermostat
SetTemperatureBetweenValues,"set the low temperature to 23 degree on my thermostat , and the high to 29 degree"
SetTemperatureOnDevice,change the minimum and maximum temperatures on my living room thermostat
GetHumidity,show the humidity level
GetHumidity,check the humidity level
GetTemperature,what temperature do I have in here according to my cooling system ?
GetTemperature,what temperature is it in here according to my air conditioning ?
GetTemperatureFromDevice,check the temperature of the kitchen room temperature sensor
GetTemperatureFromDevice,what does the living room indoor temperature sensor show ?
OpenCalendar,open my calendar
CheckCalendarOnDate,whats on my schedule on thursday
CheckCalendarOnDate,whats on my schedule on 13th march
AddEventWithName,add an event called 1on1
AddEventWithName,add an event called neighborhood council to calendar
AddEventOnDateWithDate,add an event called great streets on 1st may
AddEventOnDateWithDate,add an event called library to calendar on 1st of july
NotifyOnEventStart,notify me when an meeting on my calendar begins
NotNotifyOnEventStart,do not notify me when an event on my calendar begins
NotNotifyOnEventInLocation,do not notify me when an appointment on my calendar at location lab begins
NotNotifyOnEventInLocation,do not notify me when an meeting on my calendar at location wawarsing begins
NotifyOnEventInLocation,notify me when an appointment on my calendar at location west louisville begins
NotifyOnEventInLocation,notify me when an meeting on my calendar at location ouray begins
NotifyOnEventInLocation,notify me when an meeting on my calendar at location johns island begins
OpenContacts,open my contacts
OpenMyContact,show my contact's info
EditContactWithName,open my contact miquela for edition
EditContactWithName,open my contact chastity for edition
EditContactWithName,open my contact hadria for edition
EditContactWithNumber,change the name of my contact with number +1 803 555 0121
EditNumberInContactWithName,change the number of my contact quintina
EditNumberInContactWithNameToNumberAndToType,set the number +1 803 555 0199 in contact head as home
ShowContactWithEmail,display my contacts with email helsa@yahoo.com
ShowContactWithEmail,open my contacts with email gabriell.walliw@enron_development
ShowContactWithEmail,show my google contacts with email karin.lepine@schwab.com
ShowContactWithName,display my contacts with name plantagenet
ShowContactWithName,show my contacts with name bernita
ShowContactWithName,show my contacts with name marchris robinson
ShowContactWithNameAndWithNumberAndWithType,create a new contact and call it lenna with the number +1 202 555 0176
ShowContactWithNameAndWithNumberAndWithType,create a new contact and call it umeh with the number 860 555 0190
ShowContactWithNameAndWithNumberAndWithType,create a new contact and call it glennis with the number 602 555 0122
ShowContactWithNameAndWithNumberAndWithType,create a new contact and call it marty chrisman with the number 803 555 0193 as home
ShowContactWithNameAndWithNumberAndWithType,create a new contact and call it claude with the number +1 303 555 0198 as work
ShowContactWithNameAndWithNumberAndWithType,create a new contact and name it thane with the number +1 803 555 0178 as work
ShowContactWithNameAndWithNumberAndWithType,create a new contact and name it linnell with the number 303 555 0194 as private
ShowContactWithNameAndWithNumberAndWithType,create a new contact and name it chester with the number +1 202 555 0144 as home
ShowContactWithNameAndWithNumberAndWithType,create a new contact and name it joana with the number 605 555 0109 as work
ShowContactWithNameAndWithNumberAndWithType,create a new contact and name it bertina with the number 803 555 0116 as private
ShowContactWithNameAndWithNumberAndWithType,create a new contact using a name guinevere with the number +1 502 555 0122 as work
ShowContactWithNameAndWithNumberAndWithType,create a new contact using a name nike with the number +1 615 555 0179 as private
ShowContactWithNameAndWithNumberAndWithType,create a new contact using a name jennifer walker with the number +1 303 555 0171 as home
ShowContactWithNameAndWithNumberAndWithType,create a new contact using a name vicki with the number 202 555 0106 as work
ShowContactWithNameAndWithNumberAndWithType,create a new contact using a name kass with the number 803 555 0114 as private
ShowContactWithNumber,display my contacts with phone number +1 303 555 0143
ShowContactWithNumber,open my contacts with phone number 202 555 0174
ShowContactWithNumber,open my contacts with phone number 202 555 0107
ShowContactWithNumberAndWithEmail,display my contacts with phone number +1 803 555 0121 and email murky@outlook.com
ShowContactWithNumberAndWithEmail,open my contacts with phone number 615 555 0179 and email erma.kurys@gedaz.com
ShowContactWithNumberAndWithEmail,show my contacts with phone number +1 202 555 0148 and email pakk@yahoogroups.com
OpenEmail,check my gmail inbox
OpenEmail,get email
OpenEmail,check my gmail inbox
OpenEmail,get my latest email
ShowEmailFromSender,check emails i received from edythe@kpmg.com
ShowEmailFromSender,check my emails from malissia@edelman.com
ShowEmailFromSender,check my emails i received from enron.environmental@enron.com
ShowEmailFromSender,get emails i got from suzette.candida@outlook.com
ShowEmailFromSender,get emails i received from emalee@outlook.com
ShowEmailFromSender,get my emails from shelby.gayla@gmail.com
ShowEmailFromSender,get my emails i received from corie@proton.com
ShowEmailWithLabel,show me emails labelled offers
ShowEmailWithLabel,get emails with label music
ShowEmailWithLabel,display my emails with label sport
ShowEmailWithLabel,find my emails that have label holidays
ShowEmailFromTime,show me my emails that arrived in the last 30 minutes
ShowEmailFromTime,display emails that arrived in the last 15 minutes
ShowEmailFromTime,find emails arrived on tuesday
ShowEmailWithSubject,get my emails with subject information requests
ShowEmailWithSubject,display emails with subject the original advantage
ShowEmailWithPriority,get me unimportant emails
SendEmailToAddressWithSubjectAndWithMessage,email virginia@outlook.com with subject re last night and message thanks for getting back to me
